control,n,share,share_pct,between_20_and_80_pct
state FE,144,0.9230769230769231,92.3076923076923,False
year FE,135,0.8653846153846154,86.53846153846153,False
unemployment rate,91,0.5833333333333334,58.333333333333336,True
labor force participation rate,88,0.5641025641025641,56.41025641025641,True
age,80,0.5128205128205128,51.282051282051285,True
age quadratic,67,0.42948717948717946,42.94871794871795,True
sex FE,51,0.3269230769230769,32.69230769230769,True
driverslicenses,41,0.26282051282051283,26.28205128205128,True
everify,41,0.26282051282051283,26.28205128205128,True
limiteverify,39,0.25,25.0,True
omnibus,38,0.24358974358974358,24.358974358974358,True
higheredban,36,0.23076923076923078,23.076923076923077,True
instatetuition,36,0.23076923076923078,23.076923076923077,True
jail287g,36,0.23076923076923078,23.076923076923077,True
statefinancialaid,36,0.23076923076923078,23.076923076923077,True
securecommunities,32,0.20512820512820512,20.512820512820515,True
task287g,32,0.20512820512820512,20.512820512820515,True
sex,29,0.1858974358974359,18.58974358974359,False
age FE,26,0.16666666666666666,16.666666666666668,False
birth-year FE,17,0.10897435897435898,10.897435897435898,False
birthyr_centered,6,0.038461538461538464,3.8461538461538463,False
i(birthyr_centered**2),5,0.03205128205128205,3.2051282051282053,False
linear year,4,0.02564102564102564,2.5641025641025643,False
c(everify),3,0.019230769230769232,1.9230769230769231,False
c(jail287g),3,0.019230769230769232,1.9230769230769231,False
education,3,0.019230769230769232,1.9230769230769231,False
year quadratic,3,0.019230769230769232,1.9230769230769231,False
age_2012_c_sq,2,0.01282051282051282,1.2820512820512822,False
age_at_arrival,2,0.01282051282051282,1.2820512820512822,False
c(task287g),2,0.01282051282051282,1.2820512820512822,False
i(birthyr_c**2),2,0.01282051282051282,1.2820512820512822,False
age_at_arrival_sq,1,0.00641025641025641,0.6410256410256411,False
c(birthqtr),1,0.00641025641025641,0.6410256410256411,False
education FE,1,0.00641025641025641,0.6410256410256411,False
i(age**3),1,0.00641025641025641,0.6410256410256411,False
i(age_2012_c**2),1,0.00641025641025641,0.6410256410256411,False
i(age_at_arrival**2),1,0.00641025641025641,0.6410256410256411,False
i(birthyr**2),1,0.00641025641025641,0.6410256410256411,False
i(running**2),1,0.00641025641025641,0.6410256410256411,False
running,1,0.00641025641025641,0.6410256410256411,False
year_c,1,0.00641025641025641,0.6410256410256411,False
year_centered,1,0.00641025641025641,0.6410256410256411,False
